City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
129,College,US,64.8569,-147.8028,21.52,82,75,5.75,broken clouds
130,Beringovskiy,RU,63.05,179.3167,-3.41,89,41,11.16,scattered clouds
131,Riyadh,SA,24.6877,46.7219,75.25,20,0,9.22,clear sky
132,Sobolevo,RU,54.4299,31.8996,27.57,89,100,7.72,overcast clouds
133,Hay River,CA,60.8156,-115.7999,-17.75,96,82,3.76,broken clouds
134,Erenhot,CN,43.6475,111.9767,25.09,73,2,8.57,clear sky
135,Mar Del Plata,AR,-38.0023,-57.5575,59.88,85,0,4.81,clear sky
136,Tura,IN,25.5198,90.2201,70.29,75,91,3.02,overcast clouds
137,Vicente Guerrero,MX,19.1194,-98.1708,52.43,58,98,2.06,overcast clouds
138,Dudinka,RU,69.4058,86.1778,-12.39,98,100,20.78,light snow
139,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.04,90,100,10.85,overcast clouds
140,Nikolskoye,RU,59.7035,30.7861,-1.61,95,21,4.99,few clouds
141,Sasovo,RU,54.3537,41.9199,28.53,75,100,4.79,overcast clouds
142,Awjilah,LY,29.1081,21.2869,61.25,50,0,11.54,clear sky
143,Norman Wells,CA,65.282,-126.8329,-10.23,76,6,6.8,clear sky
144,Road Town,VG,18.4167,-64.6167,79.0,70,41,22.3,scattered clouds
145,Rodrigues Alves,BR,-7.738,-72.6509,71.2,100,100,1.14,overcast clouds
146,Hambantota,LK,6.1241,81.1185,88.14,70,40,3.44,scattered clouds
147,Ajdabiya,LY,30.7554,20.2263,59.04,44,0,15.37,clear sky
148,Maraba,BR,-5.3686,-49.1178,77.18,100,0,0.0,clear sky
149,Clyde River,CA,70.4692,-68.5914,10.63,85,100,18.41,light snow
150,Airai,TL,-8.9266,125.4092,69.76,79,99,1.88,overcast clouds
151,Ancud,CL,-41.8697,-73.8203,56.43,80,0,2.53,clear sky
152,Tarsus,TR,36.9188,34.8784,64.78,40,0,5.14,clear sky
153,Dikson,RU,73.5069,80.5464,-17.1,99,90,6.82,overcast clouds
154,Elko,US,41.0002,-115.5012,31.64,69,10,4.5,clear sky
155,Fukue,JP,32.6881,128.8419,59.13,60,3,2.89,clear sky
156,Dzhebariki-Khaya,RU,62.2167,135.8,-22.54,100,98,2.04,overcast clouds
157,Bulgan,MN,48.8125,103.5347,26.87,30,53,2.86,broken clouds
158,Hilo,US,19.7297,-155.09,79.29,80,1,4.61,clear sky
159,Kibangay,PH,8.0497,124.8931,68.22,92,99,3.44,overcast clouds
160,Souillac,MU,-20.5167,57.5167,84.58,61,75,16.11,broken clouds
161,Severo-Kurilsk,RU,50.6789,156.125,35.15,86,73,14.9,broken clouds
162,Bloomfield,US,40.8068,-74.1854,54.7,89,90,1.99,overcast clouds
163,Pangai,TO,-19.8,-174.35,79.03,70,100,19.8,overcast clouds
164,Deputatskiy,RU,69.3,139.9,-20.34,99,100,1.79,overcast clouds
165,Fairbanks,US,64.8378,-147.7164,10.42,85,100,4.27,overcast clouds
166,Saint-Denis,FR,48.9167,2.3333,42.39,96,75,0.0,fog
167,Ahipara,NZ,-35.1667,173.1667,66.67,93,100,7.29,overcast clouds
168,Nefteyugansk,RU,61.0998,72.6035,-23.55,98,77,4.12,broken clouds
169,Bad Durkheim,DE,49.4686,8.1664,38.03,84,100,1.39,overcast clouds
170,Trincomalee,LK,8.5711,81.2335,81.54,75,32,8.16,scattered clouds
171,Bayan,CN,46.0833,127.4,18.68,93,7,5.84,clear sky
172,Iqaluit,CA,63.7506,-68.5145,9.7,72,100,11.99,overcast clouds
173,Ponte Nova,BR,-20.4164,-42.9086,65.23,98,60,2.82,broken clouds
174,Mineiros,BR,-17.5694,-52.5511,68.54,86,10,2.59,clear sky
175,Hervey Bay,AU,-25.2986,152.8535,77.11,74,99,15.86,overcast clouds
176,Bengkulu,ID,-3.8004,102.2655,82.27,80,58,11.23,broken clouds
177,Bielsk Podlaski,PL,52.7651,23.1865,30.25,96,100,5.26,light snow
178,Portland,US,45.5234,-122.6762,42.76,90,100,3.0,overcast clouds
179,Dhidhdhoo,MV,6.8833,73.1,82.22,74,15,9.15,few clouds
180,Sao Filipe,CV,14.8961,-24.4956,75.42,69,91,9.53,overcast clouds
181,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,86,100,5.41,overcast clouds
182,Stepnyak,KZ,52.8339,70.7803,24.03,83,94,11.81,overcast clouds
183,Wexford,IE,52.3342,-6.4575,45.21,85,97,27.27,light rain
184,Dargaville,NZ,-35.9333,173.8833,67.05,86,100,4.32,overcast clouds
185,Marawi,PH,7.9986,124.2928,73.65,90,93,4.83,overcast clouds
186,Lagoa,PT,39.05,-27.9833,62.65,78,100,13.89,overcast clouds
187,Port Macquarie,AU,-31.4333,152.9167,70.9,76,95,8.68,moderate rain
188,Bulungu,CD,-4.55,18.6,79.5,71,100,3.13,overcast clouds
189,Verkhnevilyuysk,RU,63.4453,120.3167,-28.5,94,96,5.23,overcast clouds
190,Bani Walid,LY,31.7566,13.9942,54.27,34,0,19.48,clear sky
191,Ust-Omchug,RU,61.15,149.6333,-36.38,96,17,1.19,few clouds
192,Acari,PE,-15.4311,-74.6158,68.67,81,99,2.59,overcast clouds
193,Sechura,PE,-5.5569,-80.8222,65.89,86,100,9.28,overcast clouds
194,Sibolga,ID,1.7427,98.7792,85.5,64,8,5.5,clear sky
195,Kaitangata,NZ,-46.2817,169.8464,52.93,60,69,10.96,broken clouds
196,Samarai,PG,-10.6167,150.6667,83.28,74,92,10.63,overcast clouds
197,Yerbogachen,RU,61.2767,108.0108,-20.47,99,8,4.27,clear sky
198,Dasoguz,TM,41.8363,59.9666,42.91,59,100,10.6,overcast clouds
199,Tuatapere,NZ,-46.1333,167.6833,51.82,64,88,7.99,overcast clouds
200,Mezen,RU,65.8522,44.24,11.53,79,30,11.25,scattered clouds
201,Srednekolymsk,RU,67.45,153.6833,-41.51,98,100,4.09,overcast clouds
202,Kimbe,PG,-5.5502,150.1429,77.63,95,100,1.32,heavy intensity rain
203,Myaundzha,RU,63.0494,147.1858,-40.67,99,71,2.13,broken clouds
204,Taungdwingyi,MM,20.0167,95.55,83.64,53,0,3.09,clear sky
205,Esperance,AU,-33.8667,121.9,61.83,66,97,16.51,overcast clouds
206,Tessalit,ML,20.1986,1.0114,66.31,16,33,8.97,scattered clouds
207,Tiksi,RU,71.6872,128.8694,-20.42,92,100,9.86,overcast clouds
208,Basoda,IN,23.85,77.9333,79.38,35,39,6.2,scattered clouds
209,Labuhan,ID,-6.8844,112.2051,78.04,89,100,10.69,overcast clouds
210,Lac Du Bonnet,CA,50.2536,-96.0612,-9.42,85,47,11.86,scattered clouds
211,Meulaboh,ID,4.1363,96.1285,84.74,67,9,6.8,clear sky
212,Bereda,ES,43.2686,-7.5406,48.15,100,100,5.41,overcast clouds
213,Saldanha,ZA,-33.0117,17.9442,61.66,81,100,15.21,overcast clouds
214,Daru,PG,-9.0763,143.2092,82.76,71,100,7.76,overcast clouds
215,Goderich,CA,43.7501,-81.7165,44.91,97,100,16.53,overcast clouds
216,Bull Savanna,JM,17.8868,-77.5902,72.97,86,0,7.27,clear sky
217,Tra Vinh,VN,9.9347,106.3453,82.72,67,69,2.04,broken clouds
218,Kysyl-Syr,RU,63.8986,122.7617,-23.26,96,100,4.85,overcast clouds
219,Oistins,BB,13.0667,-59.5333,79.59,73,99,22.01,overcast clouds
220,Porosozero,RU,62.7191,32.727,12.15,95,95,7.65,overcast clouds
221,Mundo Nuevo,MX,18.7,-95.5,72.95,89,0,5.48,clear sky
222,Tabatinga,BR,-4.2525,-69.9381,75.29,100,40,0.0,scattered clouds
223,Bara,NG,10.3744,10.7288,80.58,17,78,8.77,broken clouds
224,Victoria,HK,22.2855,114.1577,75.18,42,7,1.01,clear sky
225,Mount Isa,AU,-20.7333,139.5,94.77,29,40,9.22,scattered clouds
226,Angoche,MZ,-16.2325,39.9086,88.21,57,100,11.99,overcast clouds
227,Margate,GB,51.3813,1.3862,38.3,82,100,13.24,overcast clouds
228,Kamaishi,JP,39.2667,141.8833,46.85,83,93,10.56,light rain
229,Saskylakh,RU,71.9167,114.0833,-33.57,100,74,5.95,broken clouds
230,Makakilo City,US,21.3469,-158.0858,75.52,88,75,18.41,mist
231,Kodinsk,RU,58.6881,99.1844,25.9,97,100,1.9,light snow
232,Kaduqli,SD,11.0167,29.7167,89.92,18,23,13.85,few clouds
233,Sola,VU,-13.8833,167.55,79.25,81,100,11.21,overcast clouds
234,Plettenberg Bay,ZA,-34.0527,23.3716,65.01,89,97,8.95,light rain
235,Ngunguru,NZ,-35.6167,174.5,70.16,90,89,7.83,overcast clouds
236,Biltine,TD,14.5333,20.9167,83.79,14,4,14.5,clear sky
237,Kahului,US,20.8947,-156.47,74.84,95,90,39.12,heavy intensity rain
238,Noumea,NC,-22.2763,166.4572,82.38,81,82,11.27,broken clouds
239,Saint George,US,37.1041,-113.5841,55.35,43,1,1.01,clear sky
240,Bubaque,GW,11.2833,-15.8333,80.35,60,2,4.94,clear sky
