City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
487,Mahon,ES,46.96,few clouds,39.8885,4.2658,ARTIEM Capri
488,Coquimbo,CL,57.54,scattered clouds,-29.9533,-71.3436,Punto de encuentro
490,Kloulklubed,PW,83.39,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
491,Congonhas,BR,62.67,light rain,-20.4997,-43.8578,Dinâmica Assessoria Empresarial
493,Mitsamiouli,KM,83.55,broken clouds,-11.3847,43.2844,Foyer ADM
494,Kiama,AU,68.38,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
495,Freeport,US,55.02,light rain,40.6576,-73.5832,The Freeport Inn and Marina
498,Antequera,ES,50.9,few clouds,37.0194,-4.5612,Hotel MM Antequera (anterior Hotel Las Villas)
499,Cayenne,GF,76.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
500,Gawler,AU,74.82,overcast clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
501,Berbera,SO,81.9,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
506,Santa Teresa,VE,72.52,overcast clouds,10.2341,-66.6631,Funeraria Lira
507,Shenzhen,CN,74.86,clear sky,22.5455,114.0683,Shenzhen Shanghai Hotel
508,Marrakesh,MA,41.07,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
509,Eydhafushi,MV,82.33,few clouds,5.1033,73.0708,Soneva Fushi
510,Kaseda,JP,59.25,broken clouds,31.4167,130.3167,Sun Stay Kaseda
512,Watertown,US,47.46,overcast clouds,42.3709,-71.1828,Apt downtown Waltham
513,Saint Simons,US,55.44,fog,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
514,Alta Floresta,BR,70.72,heavy intensity rain,-9.8756,-56.0861,Floresta Amazonica Hotel
515,Faya,SA,70.32,clear sky,18.3851,42.4509,املاك خالد الشعشوع
516,Cordoba,AR,67.6,broken clouds,-31.4135,-64.1811,Hotel Sussex
517,Toba,JP,51.8,mist,34.4833,136.85,ホテル アルティア鳥羽
518,Kiomboi,TZ,79.75,overcast clouds,-4.2667,34.3667,Reyd's Executive Lodge
519,Caluquembe,AO,71.62,overcast clouds,-13.7833,14.6833,Hotel Kalukembe
521,Gold Coast,AU,77.16,light rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
522,Gedo,ET,69.22,clear sky,9.0167,37.45,Mida Qanyi
523,Ilhabela,BR,71.35,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
525,Rodeo,US,55.87,fog,38.033,-122.2669,Captain's Cottage
526,Casa Nova,BR,74.5,clear sky,-9.4167,-41.1333,Pousada e Restaurante Dona Xinha
527,Matamoros,MX,65.77,overcast clouds,25.5333,-103.25,Quinta Belem
528,Newport,GB,43.77,light rain,51.5877,-2.9984,ibis budget Newport
533,Tuy Hoa,VN,70.83,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
539,Rio Gallegos,AR,44.65,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
541,Inongo,CD,73.35,overcast clouds,-1.95,18.2667,Hotel Du Lac
544,Union De San Antonio,MX,56.05,overcast clouds,21.1,-101.9667,Hotel Adobes
545,Port Moresby,PG,80.44,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
547,Orange Park,US,57.18,mist,30.1661,-81.7065,Hilton Garden Inn Jacksonville Orange Park
548,Bage,BR,60.8,few clouds,-31.3314,-54.1069,Hotel Obino - Bagé
549,Chimore,BO,70.23,overcast clouds,-16.9833,-65.1333,Bichito
551,Brigantine,US,57.25,mist,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
552,Santa Isabel Do Rio Negro,BR,72.45,overcast clouds,-0.4139,-65.0192,Hotel GSA
554,Gushikawa,JP,72.63,clear sky,26.3544,127.8686,Kirari Guest House
555,Mathathane,BW,79.97,overcast clouds,-22.2687,28.7495,Selepswe Resort
558,Nhulunbuy,AU,84.81,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
559,Coihueco,CL,60.22,clear sky,-36.6167,-71.8333,Frutillares Coihueco
561,Susangerd,IR,69.82,scattered clouds,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
562,Nelson Bay,AU,72.09,light rain,-32.7167,152.15,Mantra Nelson Bay
563,Badarganj,BD,78.93,broken clouds,25.674,89.0549,Raushon
564,Koumac,NC,81.48,scattered clouds,-20.5667,164.2833,Le Monitel
565,Flinders,AU,69.21,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
566,Moron,AR,65.95,clear sky,-34.6534,-58.6198,Hotel Morón
